rank	taxon	parent	total	segmented	segmented_fraction	majority_segment	min_segment	max_segment
Kingdom	Shotokuvirae	Monodnaviria	2408	218	9.053156146179402	2	2	8
Kingdom	Orthornavirae	Riboviria	7258	1214	16.726370901074677	3	2	12
Phylum	Cossaviricota	Shotokuvirae	651	2	0.30721966205837176	2	2	2
Phylum	Cressdnaviricota	Shotokuvirae	1757	216	12.293682413204325	2	2	8
Phylum	Duplornaviricota	Orthornavirae	332	162	48.795180722891565	10	2	12
Phylum	Kitrinoviricota	Orthornavirae	831	114	13.718411552346572	2	2	5
Phylum	Lenarviricota	Orthornavirae	2816	3	0.1065340909090909	3	3	3
Phylum	Negarnaviricota	Orthornavirae	1643	756	46.01339013998783	3	2	10
Phylum	Pisuviricota	Orthornavirae	1597	163	10.206637445209768	2	2	11
Subphylum	Haploviricotina	Negarnaviricota	891	35	3.928170594837262	2	2	4
Subphylum	Polyploviricotina	Negarnaviricota	751	720	95.87217043941412	3	2	10
Class	Mouviricetes	Cossaviricota	1	1	100	2	2	2
Class	Quintoviricetes	Cossaviricota	189	1	0.5291005291005291	2	2	2
Class	Arfiviricetes	Cressdnaviricota	736	27	3.6684782608695654	8	4	8
Class	Repensiviricetes	Cressdnaviricota	1021	189	18.51126346718903	2	2	3
Class	Chrymotiviricetes	Duplornaviricota	227	62	27.312775330396477	4	2	7
Class	Resentoviricetes	Duplornaviricota	98	93	94.89795918367348	10	4	12
Class	Vidaverviricetes	Duplornaviricota	7	7	100	3	3	3
Class	Alsuviricetes	Kitrinoviricota	561	95	16.93404634581105	3	2	5
Class	Magsaviricetes	Kitrinoviricota	27	16	59.25925925925925	2	2	2
Class	Tolucaviricetes	Kitrinoviricota	95	3	3.1578947368421053	2	2	2
Class	Miaviricetes	Lenarviricota	169	3	1.7751479289940828	3	3	3
Class	Chunqiuviricetes	Haploviricotina	8	8	100	2	2	2
Class	Milneviricetes	Haploviricotina	8	5	62.5	3	3	4
Class	Monjiviricetes	Haploviricotina	873	20	2.290950744558992	2	2	2
Class	Yunchangviricetes	Haploviricotina	2	2	100	2	2	2
Class	Bunyaviricetes	Polyploviricotina	728	706	96.97802197802197	3	2	10
Class	Insthoviricetes	Polyploviricotina	23	14	60.86956521739131	8	6	10
Class	Duplopiviricetes	Pisuviricota	172	63	36.627906976744185	2	2	3
Class	Pisoniviricetes	Pisuviricota	1120	91	8.125	2	2	2
Class	Stelpaviricetes	Pisuviricota	290	7	2.413793103448276	2	2	2
Order	Polivirales	Mouviricetes	1	1	100	2	2	2
Order	Piccovirales	Quintoviricetes	189	1	0.5291005291005291	2	2	2
Order	Mulpavirales	Arfiviricetes	38	27	71.05263157894737	8	4	8
Order	Geplafuvirales	Repensiviricetes	1021	189	18.51126346718903	2	2	3
Order	Ghabrivirales	Chrymotiviricetes	227	62	27.312775330396477	4	2	7
Order	Reovirales	Resentoviricetes	98	93	94.89795918367348	10	4	12
Order	Mindivirales	Vidaverviricetes	7	7	100	3	3	3
Order	Hepelivirales	Alsuviricetes	36	6	16.666666666666664	2	2	5
Order	Martellivirales	Alsuviricetes	261	89	34.099616858237546	3	2	4
Order	Nodamuvirales	Magsaviricetes	27	16	59.25925925925925	2	2	2
Order	Tolivirales	Tolucaviricetes	95	3	3.1578947368421053	2	2	2
Order	Ourlivirales	Miaviricetes	169	3	1.7751479289940828	3	3	3
Order	Muvirales	Chunqiuviricetes	8	8	100	2	2	2
Order	Naedrevirales	Milneviricetes	8	5	62.5	3	3	4
Order	Jingchuvirales	Monjiviricetes	59	12	20.33898305084746	2	2	2
Order	Mononegavirales	Monjiviricetes	814	8	0.9828009828009828	2	2	2
Order	Goujianvirales	Yunchangviricetes	2	2	100	2	2	2
Order	Elliovirales	Bunyaviricetes	384	373	97.13541666666666	3	2	10
Order	Hareavirales	Bunyaviricetes	344	333	96.80232558139535	3	2	8
Order	Articulavirales	Insthoviricetes	23	14	60.86956521739131	8	6	10
Order	Durnavirales	Duplopiviricetes	172	63	36.627906976744185	2	2	3
